
    Time  ref_inp     lev2     lev1      err 
    24.10    5.060    4.930    0.595   -0.235
    24.20    5.060    4.935    0.595   -0.235
    24.30    5.060    4.945    0.595   -0.235
    24.40    5.060    4.950    0.595   -0.235
    24.50    5.060    4.955    0.595   -0.235
    24.60    5.060    4.960    0.595   -0.235
    24.70    5.060    4.965    0.595   -0.235
    24.80    5.060    4.970    0.595   -0.235
    24.90    5.060    4.975    0.595   -0.235
    25.00    5.060    4.980    0.595   -0.235
    25.10    5.060    4.985    0.595   -0.235
    25.20    5.060    4.990    0.595   -0.235
    25.30    5.060    4.995    0.595   -0.235
    25.40    5.060    5.005    0.595   -0.235
    25.50    5.060    5.010    0.595   -0.235
    25.60    5.060    5.015    0.595   -0.235
    25.70    5.060    5.025    0.595   -0.235
    25.80    5.060    5.030    0.595   -0.235
    25.90    5.060    5.035    0.595   -0.235
    26.00    5.060    5.040    0.595   -0.235
    26.10    5.060    5.045    0.595   -0.235
    26.20    5.060    5.050    0.595   -0.235
    26.30    5.060    5.055    0.595   -0.235
    26.40    5.060    5.060    0.595   -0.235
    26.50    5.060    5.065    0.595   -0.235
    26.60    5.060    5.075    0.595   -0.235
    26.70    5.060    5.080    0.595   -0.235
    26.80    5.060    5.085    0.595   -0.235
    26.90    5.060    5.095    0.595   -0.235
    27.00    5.060    5.100    0.595   -0.235
    27.10    5.060    5.105    0.595   -0.235
    27.20    5.060    5.110    0.595   -0.235
    27.30    5.060    5.115    0.595   -0.235
    27.40    5.060    5.120    0.595   -0.235
    27.50    5.060    5.125    0.595   -0.235
    27.60    5.060    5.130    0.595   -0.235
    27.70    5.060    5.135    0.595   -0.235
    27.80    5.060    5.140    0.595   -0.235
    27.90    5.060    5.145    0.595   -0.235
    28.00    5.060    5.150    0.600   -0.235
    28.10    5.060    5.155    0.595   -0.235
    28.20    5.060    5.160    0.595   -0.235
    28.30    5.060    5.160    0.595   -0.235
    28.40    5.060    5.170    0.600   -0.235
    28.50    5.060    5.175    0.600   -0.235
    28.60    5.060    5.180    0.595   -0.235
    28.70    5.060    5.190    0.600   -0.235
    28.80    5.060    5.195    0.595   -0.235
    28.90    5.060    5.200    0.595   -0.235
    29.00    5.060    5.205    0.600   -0.235
    29.10    5.060    5.210    0.600   -0.235
    29.20    5.060    5.215    0.600   -0.235
    29.30    5.060    5.220    0.595   -0.235
    29.40    5.060    5.225    0.600   -0.235
    29.50    5.060    5.230    0.600   -0.235
    29.60    5.060    5.230    0.600   -0.235
    29.70    5.060    5.235    0.600   -0.235
    29.80    5.060    5.240    0.600   -0.235
    29.90    5.060    5.250    0.600   -0.235
    30.00    5.060    5.255    0.600   -0.235
    30.10    5.060    5.260    0.600   -0.235
    30.20    5.060    5.265    0.600   -0.235
    30.30    5.060    5.270    0.600   -0.235
    30.40    5.060    5.275    0.600   -0.235
    30.50    5.060    5.280    0.600   -0.235
    30.60    5.060    5.290    0.600   -0.235
    30.70    5.060    5.295    0.600   -0.235
    30.80    5.060    5.305    0.600   -0.235
    30.90    5.060    5.310    0.600   -0.235
    31.00    5.060    5.315    0.600   -0.230
    31.10    5.060    5.320    0.600   -0.235
    31.20    5.060    5.325    0.600   -0.235
    31.30    5.060    5.330    0.600   -0.235
    31.40    5.060    5.335    0.600   -0.235
    31.50    5.060    5.345    0.600   -0.235
    31.60    5.060    5.350    0.600   -0.235
    31.70    5.060    5.355    0.600   -0.235
    31.80    5.060    5.360    0.600   -0.235
    31.90    5.060    5.365    0.600   -0.235
    32.00    5.060    5.365    0.600   -0.235
    32.10    5.060    5.370    0.600   -0.230
    32.20    5.060    5.375    0.600   -0.235
    32.30    5.060    5.375    0.600   -0.235
    32.40    5.060    5.380    0.600   -0.235
    32.50    5.060    5.385    0.600   -0.235
    32.60    5.060    5.390    0.600   -0.235
    32.70    5.060    5.395    0.600   -0.235
    32.80    5.060    5.400    0.600   -0.235
    32.90    5.060    5.405    0.600   -0.235
    33.00    5.060    5.405    0.600   -0.235
    33.10    5.060    5.410    0.600   -0.235
    33.20    5.060    5.415    0.600   -0.235
    33.30    5.060    5.420    0.600   -0.230
    33.40    5.060    5.425    0.600   -0.235
    33.50    5.060    5.430    0.600   -0.235
    33.60    5.060    5.435    0.600   -0.235
    33.70    5.060    5.440    0.600   -0.235
    33.80    5.060    5.445    0.600   -0.235
    33.90    5.060    5.450    0.600   -0.230
    34.00    5.060    5.455    0.600   -0.235
    34.10    5.060    5.460    0.600   -0.230
    34.20    5.060    5.465    0.600   -0.235
    34.30    5.060    5.470    0.600   -0.235
    34.40    5.060    5.475    0.600   -0.235
    34.50    5.060    5.480    0.600   -0.235
    34.60    5.060    5.485    0.600   -0.230
    34.70    5.060    5.490    0.600   -0.230
    34.80    5.060    5.495    0.600   -0.230
    34.90    5.060    5.500    0.600   -0.235
    35.00    5.060    5.505    0.600   -0.235
    35.10    5.060    5.505    0.600   -0.230
    35.20    5.060    5.510    0.600   -0.235
    35.30    5.060    5.510    0.600   -0.230
    35.40    5.060    5.515    0.600   -0.235
    35.50    5.060    5.520    0.600   -0.235
    35.60    5.060    5.525    0.600   -0.230
    35.70    5.060    5.535    0.600   -0.235
    35.80    5.060    5.540    0.600   -0.235
    35.90    5.060    5.540    0.600   -0.235
    36.00    5.060    5.545    0.600   -0.230
    36.10    5.060    5.550    0.600   -0.235
    36.20    5.060    5.550    0.600   -0.230
    36.30    5.060    5.550    0.600   -0.235
    36.40    5.060    5.555    0.600   -0.235
    36.50    5.060    5.560    0.600   -0.230
    36.60    5.060    5.565    0.600   -0.235
    36.70    5.060    5.570    0.600   -0.235
    36.80    5.060    5.575    0.600   -0.230
    36.90    5.060    5.580    0.600   -0.230
    37.00    5.060    5.585    0.600   -0.230
    37.10    5.060    5.590    0.600   -0.230
    37.20    5.060    5.595    0.600   -0.235
    37.30    5.060    5.600    0.600   -0.230
    37.40    5.060    5.600    0.600   -0.235
    37.50    5.060    5.605    0.600   -0.230
    37.60    5.060    5.610    0.600   -0.230
    37.70    5.060    5.615    0.600   -0.230
    37.80    5.060    5.615    0.600   -0.230
    37.90    5.060    5.620    0.600   -0.235
    38.00    5.060    5.620    0.600   -0.230
    38.10    5.060    5.625    0.600   -0.230
    38.20    5.060    5.625    0.600   -0.230
    38.30    5.060    5.630    0.600   -0.230
    38.40    5.060    5.635    0.600   -0.235
    38.50    5.060    5.635    0.600   -0.230
    38.60    5.060    5.640    0.600   -0.230
    38.70    5.060    5.645    0.600   -0.235
    38.80    5.060    5.650    0.600   -0.230
    38.90    5.060    5.650    0.600   -0.230
    39.00    5.060    5.655    0.600   -0.230
    39.10    5.060    5.660    0.600   -0.235
    39.20    5.060    5.660    0.600   -0.230
    39.30    5.060    5.665    0.600   -0.230
    39.40    5.060    5.665    0.600   -0.230
    39.50    5.060    5.670    0.600   -0.230
    39.60    5.060    5.675    0.600   -0.230
    39.70    5.060    5.680    0.600   -0.230
    39.80    5.060    5.685    0.600   -0.230
    39.90    5.060    5.690    0.600   -0.230
    40.00    5.060    5.690    0.600   -0.230
    40.10    5.060    5.695    0.600   -0.230
    40.20    5.060    5.695    0.600   -0.230
    40.30    5.060    5.700    0.600   -0.230
    40.40    5.060    5.700    0.600   -0.230
    40.50    5.060    5.705    0.600   -0.230
    40.60    5.060    5.710    0.600   -0.230
    40.70    5.060    5.715    0.600   -0.230
    40.80    5.060    5.715    0.600   -0.230
    40.90    5.060    5.720    0.600   -0.230
    41.00    5.060    5.720    0.600   -0.230
    41.10    5.060    5.725    0.600   -0.230
    41.20    5.060    5.725    0.600   -0.230
    41.30    5.060    5.725    0.600   -0.230
    41.40    5.060    5.730    0.600   -0.230
    41.50    5.060    5.730    0.600   -0.230
    41.60    5.060    5.735    0.600   -0.230
    41.70    5.060    5.735    0.600   -0.230
    41.80    5.060    5.740    0.600   -0.230
    41.90    5.060    5.740    0.600   -0.235
    42.00    5.060    5.745    0.600   -0.230
    42.10    5.060    5.745    0.600   -0.230
    42.20    5.060    5.750    0.600   -0.230
    42.30    5.060    5.750    0.600   -0.230
    42.40    5.060    5.755    0.600   -0.230
    42.50    5.060    5.755    0.600   -0.230
    42.60    5.060    5.760    0.600   -0.230
    42.70    5.060    5.760    0.600   -0.230
    42.80    5.060    5.765    0.600   -0.230
    42.90    5.060    5.765    0.600   -0.230
    43.00    5.060    5.765    0.600   -0.230
    43.10    5.060    5.765    0.600   -0.230
    43.20    5.060    5.765    0.600   -0.230
    43.30    5.060    5.770    0.600   -0.230
    43.40    5.060    5.775    0.600   -0.230
    43.50    5.060    5.775    0.600   -0.230
    43.60    5.060    5.780    0.600   -0.230
    43.70    5.060    5.780    0.600   -0.230
    43.80    5.060    5.780    0.600   -0.230
    43.90    5.060    5.780    0.600   -0.230
    44.00    5.060    5.780    0.600   -0.230
    44.10    5.060    5.785    0.600   -0.230
    44.20    5.060    5.785    0.600   -0.230
    44.30    5.060    5.785    0.600   -0.230
    44.40    5.060    5.790    0.600   -0.230
    44.50    5.060    5.790    0.600   -0.230
    44.60    5.060    5.790    0.600   -0.230
    44.70    5.060    5.795    0.600   -0.230
    44.80    5.060    5.795    0.600   -0.230
    44.90    5.060    5.795    0.600   -0.230
    45.00    5.060    5.800    0.600   -0.230
    45.10    5.060    5.800    0.600   -0.230
    45.20    5.060    5.800    0.600   -0.230
    45.30    5.060    5.805    0.600   -0.230
    45.40    5.060    5.805    0.600   -0.230
    45.50    5.060    5.805    0.600   -0.230
    45.60    5.060    5.805    0.600   -0.230
    45.70    5.060    5.805    0.600   -0.230
    45.80    5.060    5.810    0.600   -0.230
    45.90    5.060    5.810    0.600   -0.230
    46.00    5.060    5.810    0.600   -0.230
    46.10    5.060    5.810    0.600   -0.230
    46.20    5.060    5.810    0.600   -0.230
    46.30    5.060    5.810    0.600   -0.230
    46.40    5.060    5.815    0.600   -0.230
    46.50    5.060    5.815    0.600   -0.230
    46.60    5.060    5.815    0.600   -0.230
    46.70    5.060    5.815    0.600   -0.230
    46.80    5.060    5.815    0.600   -0.230
    46.90    5.060    5.820    0.600   -0.230
    47.00    5.060    5.820    0.600   -0.230
    47.10    5.060    5.820    0.600   -0.230
    47.20    5.060    5.820    0.600   -0.230
    47.30    5.060    5.820    0.600   -0.230
    47.40    5.060    5.820    0.600   -0.230
    47.50    5.060    5.820    0.600   -0.230
    47.60    5.060    5.820    0.600   -0.230
    47.70    5.060    5.820    0.600   -0.230
    47.80    5.060    5.820    0.600   -0.230
    47.90    5.060    5.820    0.600   -0.230
    48.00    5.060    5.820    0.600   -0.230
    48.10    5.060    5.820    0.600   -0.230
    48.20    5.060    5.820    0.600   -0.230
    48.30    5.060    5.820    0.600   -0.230
    48.40    5.060    5.820    0.600   -0.230
    48.50    5.060    5.825    0.600   -0.230
    48.60    5.060    5.825    0.600   -0.230
    48.70    5.060    5.825    0.605   -0.230
    48.80    5.060    5.825    0.600   -0.230
