
    Time  ref_inp     lev2     lev1      err 
    61.70    5.060    5.475    0.600   -0.230
    61.80    5.060    5.470    0.600   -0.235
    61.90    5.060    5.465    0.600   -0.235
    62.00    5.060    5.460    0.600   -0.235
    62.10    5.060    5.455    0.600   -0.235
    62.20    5.060    5.450    0.600   -0.230
    62.30    5.060    5.445    0.600   -0.230
    62.40    5.060    5.440    0.600   -0.230
    62.50    5.060    5.435    0.600   -0.235
    62.60    5.060    5.430    0.600   -0.235
    62.70    5.060    5.430    0.600   -0.235
    62.80    5.060    5.425    0.600   -0.235
    62.90    5.060    5.420    0.600   -0.235
    63.00    5.060    5.415    0.600   -0.230
