Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 heater input 
    32.27    2.635    2.510    1.000
    32.34    2.630    2.510    1.000
    32.41    2.635    2.510    1.000
    32.47    2.635    2.510    1.000
    32.54    2.635    2.510    1.000
    32.60    2.635    2.510    1.000
    32.67    2.635    2.510    1.000
    32.74    2.635    2.510    1.000
    32.80    2.635    2.510    1.000
    32.87    2.635    2.510    1.000
    32.93    2.635    2.510    1.000
    33.00    2.635    2.510    1.000
    33.07    2.635    2.510    1.000
    33.13    2.635    2.510    1.000
    33.20    2.635    2.515    1.000
    33.26    2.635    2.510    1.000
    33.33    2.635    2.510    1.000
    33.40    2.635    2.510    1.000
    33.46    2.640    2.510    1.000
    33.53    2.640    2.510    1.000
    33.59    2.635    2.510    1.000
    33.66    2.640    2.515    1.000
    33.73    2.640    2.510    1.000
    33.79    2.640    2.515    1.000
    33.86    2.640    2.510    1.000
    33.92    2.640    2.515    1.000
    33.99    2.640    2.510    1.000
    34.06    2.640    2.515    1.000
    34.12    2.640    2.515    1.000
    34.19    2.640    2.515    1.000
    34.25    2.640    2.515    1.000
    34.32    2.640    2.515    1.000
    34.39    2.640    2.515    1.000
    34.45    2.640    2.515    1.000
    34.52    2.640    2.515    1.000
    34.58    2.640    2.515    1.000
    34.65    2.640    2.515    1.000
    34.72    2.645    2.515    1.000
    34.78    2.645    2.515    1.000
    34.85    2.645    2.515    1.000
    34.91    2.645    2.515    1.000
    34.98    2.645    2.515    1.000
    35.05    2.645    2.515    1.000
    35.11    2.645    2.515    1.000
    35.18    2.645    2.515    1.000
    35.24    2.645    2.515    1.000
    35.31    2.645    2.515    1.000
    35.38    2.645    2.515    1.000
    35.44    2.645    2.515    1.000
    35.51    2.645    2.515    1.000
    35.57    2.645    2.515    1.000
    35.64    2.645    2.515    1.000
    35.71    2.645    2.515    1.000
    35.77    2.645    2.515    1.000
    35.84    2.645    2.515    1.000
    35.90    2.650    2.515    1.000
    35.97    2.645    2.515    1.000
    36.04    2.650    2.515    1.000
    36.10    2.650    2.515    1.000
    36.17    2.645    2.515    1.000
    36.23    2.650    2.520    1.000
    36.30    2.650    2.515    1.000
    36.37    2.650    2.520    1.000
    36.43    2.650    2.515    1.000
    36.50    2.650    2.520    1.000
    36.56    2.650    2.515    1.000
    36.63    2.650    2.520    1.000
