    Time       T1       T2  shutter Setpoint 
    17.09    3.375    2.715    0.000    4.000
    17.16    3.380    2.715    0.000    4.000
    17.23    3.380    2.715    0.000    4.000
    17.29    3.385    2.715    0.000    4.000
    17.36    3.390    2.715    0.000    4.000
    17.42    3.395    2.715    0.000    4.000
    17.49    3.400    2.720    0.000    4.000
    17.56    3.405    2.720    0.000    4.000
    17.62    3.410    2.720    0.000    4.000
    17.69    3.415    2.720    0.000    4.000
    17.75    3.420    2.720    0.000    4.000
    17.82    3.425    2.720    0.000    4.000
    17.89    3.430    2.725    0.000    4.000
    17.95    3.435    2.725    0.000    4.000
    18.02    3.435    2.725    0.000    4.000
    18.08    3.440    2.725    0.000    4.000
    18.15    3.445    2.725    0.000    4.000
    18.22    3.450    2.725    0.000    4.000
    18.28    3.455    2.730    0.000    4.000
    18.35    3.460    2.730    0.000    4.000
    18.41    3.465    2.730    0.000    4.000
    18.48    3.470    2.730    0.000    4.000
    18.55    3.475    2.730    0.000    4.000
    18.61    3.480    2.730    0.000    4.000
    18.68    3.485    2.735    0.000    4.000
    18.74    3.485    2.735    0.000    4.000
    18.81    3.490    2.735    0.000    4.000
    18.88    3.495    2.735    0.000    4.000
    18.94    3.500    2.735    0.000    4.000
    19.01    3.505    2.740    0.000    4.000
    19.07    3.510    2.740    0.000    4.000
    19.14    3.515    2.740    0.000    4.000
    19.21    3.520    2.740    0.000    4.000
    19.27    3.525    2.740    0.000    4.000
    19.34    3.525    2.745    0.000    4.000
    19.40    3.530    2.745    0.000    4.000
    19.47    3.535    2.745    0.000    4.000
    19.54    3.540    2.745    0.000    4.000
    19.60    3.545    2.745    0.000    4.000
    19.67    3.550    2.750    0.000    4.000
    19.73    3.555    2.750    0.000    4.000
    19.80    3.560    2.750    0.000    4.000
    19.87    3.565    2.750    0.000    4.000
    19.93    3.570    2.750    0.000    4.000
    20.00    3.575    2.755    0.000    4.000
    20.06    3.575    2.755    0.000    4.000
    20.13    3.580    2.755    0.000    4.000
    20.20    3.585    2.755    0.000    4.000
    20.26    3.590    2.755    0.000    4.000
