
Data series 3

    Time       T1       T2  shutter Setpoint 
    29.96    4.195    2.940    0.000    4.000
    30.03    4.195    2.945    0.000    4.000
    30.10    4.200    2.945    0.000    4.000
    30.16    4.205    2.945    0.000    4.000
    30.23    4.210    2.950    0.000    4.000
    30.29    4.215    2.950    0.000    4.000
    30.36    4.215    2.950    0.000    4.000
    30.43    4.220    2.950    0.000    4.000
    30.49    4.225    2.955    0.000    4.000
    30.56    4.230    2.955    0.000    4.000
    30.62    4.235    2.955    0.000    4.000
    30.69    4.235    2.960    0.000    4.000
    30.76    4.240    2.960    0.000    4.000
    30.82    4.245    2.965    0.000    4.000
    30.89    4.250    2.965    0.000    4.000
    30.95    4.255    2.965    0.000    4.000
    31.02    4.255    2.970    0.000    4.000
    31.09    4.260    2.970    0.000    4.000
    31.15    4.265    2.970    0.000    4.000
    31.22    4.270    2.975    0.000    4.000
    31.28    4.275    2.975    0.000    4.000
    31.35    4.275    2.975    0.000    4.000
    31.42    4.280    2.980    0.000    4.000
    31.48    4.285    2.980    0.000    4.000
    31.55    4.290    2.980    0.000    4.000
    31.61    4.295    2.985    0.000    4.000
    31.68    4.300    2.985    0.000    4.000
    31.75    4.305    2.985    0.000    4.000
    31.81    4.305    2.990    0.000    4.000
    31.88    4.310    2.990    0.000    4.000
    31.94    4.315    2.995    0.000    4.000
    32.01    4.315    2.995    0.000    4.000
    32.08    4.320    2.995    0.000    4.000
    32.14    4.325    3.000    0.000    4.000
    32.21    4.330    3.000    0.000    4.000
    32.27    4.335    3.000    0.000    4.000
    32.34    4.335    3.005    0.000    4.000
    32.41    4.340    3.005    0.000    4.000
    32.47    4.345    3.005    0.000    4.000
    32.54    4.350    3.010    0.000    4.000
    32.60    4.355    3.010    0.000    4.000
    32.67    4.355    3.015    0.000    4.000
    32.74    4.360    3.015    0.000    4.000
    32.80    4.365    3.015    0.000    4.000
    32.87    4.370    3.020    0.000    4.000
    32.93    4.375    3.020    0.000    4.000
    33.00    4.380    3.020    0.000    4.000
    33.07    4.380    3.025    0.000    4.000
    33.13    4.385    3.025    0.000    4.000
    33.20    4.390    3.025    0.000    4.000
    33.26    4.395    3.030    0.000    4.000
    33.33    4.395    3.030    0.000    4.000
    33.40    4.400    3.030    0.000    4.000
    33.46    4.405    3.035    0.000    4.000
    33.53    4.410    3.035    0.000    4.000
    33.59    4.410    3.035    0.000    4.000
    33.66    4.415    3.040    0.000    4.000
    33.73    4.420    3.040    0.000    4.000
    33.79    4.425    3.040    0.000    4.000
    33.86    4.430    3.045    0.000    4.000
    33.92    4.435    3.045    0.000    4.000
    33.99    4.435    3.050    0.000    4.000
    34.06    4.440    3.050    0.000    4.000
    34.12    4.445    3.050    0.000    4.000
    34.19    4.450    3.055    0.000    4.000
    34.25    4.455    3.055    0.000    4.000
    34.32    4.455    3.055    0.000    4.000
    34.39    4.460    3.060    0.000    4.000
    34.45    4.465    3.060    0.000    4.000
    34.52    4.470    3.065    0.000    4.000
    34.58    4.470    3.065    0.000    4.000
    34.65    4.475    3.065    0.000    4.000
    34.72    4.480    3.070    0.000    4.000
    34.78    4.485    3.070    0.000    4.000
    34.85    4.485    3.075    0.000    4.000
    34.91    4.490    3.075    0.000    4.000
    34.98    4.495    3.075    0.000    4.000
    35.05    4.500    3.080    0.000    4.000
    35.11    4.500    3.080    0.000    4.000
    35.18    4.510    3.080    0.000    4.000
    35.24    4.510    3.085    0.000    4.000
    35.31    4.515    3.085    0.000    4.000
    35.38    4.520    3.085    0.000    4.000
    35.44    4.520    3.090    0.000    4.000
    35.51    4.525    3.095    0.000    4.000
    35.57    4.530    3.095    0.000    4.000
    35.64    4.535    3.095    0.000    4.000
    35.71    4.540    3.095    0.000    4.000
    35.77    4.540    3.100    0.000    4.000
    35.84    4.545    3.100    0.000    4.000
    35.90    4.550    3.105    0.000    4.000
    35.97    4.550    3.105    0.000    4.000
    36.04    4.555    3.105    0.000    4.000
    36.10    4.560    3.110    0.000    4.000
    36.17    4.560    3.110    0.000    4.000
    36.23    4.565    3.115    0.000    4.000
    36.30    4.570    3.115    0.000    4.000
    36.37    4.575    3.120    0.000    4.000
    36.43    4.575    3.120    0.000    4.000
    36.50    4.585    3.120    0.000    4.000
    36.56    4.585    3.120    0.000    4.000
    36.63    4.590    3.125    0.000    4.000
    36.70    4.595    3.130    0.000    4.000
