Data export from TecQuipment CE2000

Data series 2

    Time       T1  shutter setpoint   PI o/p 
    23.20    3.725    0.000    5.000   97.022
    23.30    3.735    0.000    5.000   96.886
    23.40    3.740    0.000    5.000   96.900
    23.50    3.745    0.000    5.000   96.913
    23.60    3.755    0.000    5.000   96.775
    23.70    3.760    0.000    5.000   96.786
    23.80    3.765    0.000    5.000   96.797
    23.90    3.770    0.000    5.000   96.807
    24.00    3.780    0.000    5.000   96.665
    24.10    3.785    0.000    5.000   96.673
    24.20    3.790    0.000    5.000   96.680
    24.30    3.800    0.000    5.000   96.536
    24.40    3.805    0.000    5.000   96.542
    24.50    3.810    0.000    5.000   96.547
    24.60    3.815    0.000    5.000   96.551
    24.70    3.825    0.000    5.000   96.403
    24.80    3.830    0.000    5.000   96.405
    24.90    3.835    0.000    5.000   96.407
    25.00    3.840    0.000    5.000   96.408
    25.10    3.850    0.000    5.000   96.257
    25.20    3.855    0.000    5.000   96.256
    25.30    3.860    0.000    5.000   96.254
    25.40    3.865    0.000    5.000   96.252
    25.50    3.875    0.000    5.000   96.098
    25.60    3.880    0.000    5.000   96.094
    25.70    3.885    0.000    5.000   96.089
    25.80    3.890    0.000    5.000   96.083
    25.90    3.900    0.000    5.000   95.926
    26.00    3.905    0.000    5.000   95.918
    26.10    3.910    0.000    5.000   95.910
    26.20    3.915    0.000    5.000   95.901
    26.30    3.925    0.000    5.000   95.741
    26.40    3.930    0.000    5.000   95.730
    26.50    3.935    0.000    5.000   95.718
    26.60    3.940    0.000    5.000   95.706
    26.70    3.950    0.000    5.000   95.543
    26.80    3.955    0.000    5.000   95.528
    26.90    3.960    0.000    5.000   95.514
    27.00    3.965    0.000    5.000   95.498
    27.10    3.970    0.000    5.000   95.482
    27.20    3.980    0.000    5.000   95.315
    27.30    3.985    0.000    5.000   95.297
    27.40    3.990    0.000    5.000   95.278
    27.50    3.995    0.000    5.000   95.259
    27.60    4.005    0.000    5.000   95.088
    27.70    4.010    0.000    5.000   95.067
    27.80    4.015    0.000    5.000   95.045
    27.90    4.020    0.000    5.000   95.022
    28.00    4.025    0.000    5.000   94.999
    28.10    4.035    0.000    5.000   94.824
    28.20    4.040    0.000    5.000   94.799
    28.30    4.045    0.000    5.000   94.773
    28.40    4.055    0.000    5.000   94.596
    28.50    4.060    0.000    5.000   94.568
    28.60    4.065    0.000    5.000   94.540
    28.70    4.070    0.000    5.000   94.511
    28.80    4.075    0.000    5.000   94.481
    28.90    4.085    0.000    5.000   94.300
    29.00    4.090    0.000    5.000   94.268
    29.10    4.095    0.000    5.000   94.236
    29.20    4.100    0.000    5.000   94.203
    29.30    4.110    0.000    5.000   94.019
    29.40    4.115    0.000    5.000   93.984
    29.50    4.120    0.000    5.000   93.948
    29.60    4.125    0.000    5.000   93.912
    29.70    4.135    0.000    5.000   93.724
    29.80    4.140    0.000    5.000   93.686
    29.90    4.145    0.000    5.000   93.647
    30.00    4.150    0.000    5.000   93.608
    30.10    4.155    0.000    5.000   93.567
    30.20    4.165    0.000    5.000   93.376
    30.30    4.170    0.000    5.000   93.334
    30.40    4.175    0.000    5.000   93.291
    30.50    4.180    0.000    5.000   93.248
    30.60    4.190    0.000    5.000   93.053
    30.70    4.195    0.000    5.000   93.008
    30.80    4.200    0.000    5.000   92.962
    30.90    4.205    0.000    5.000   92.915
    31.00    4.210    0.000    5.000   92.868
    31.10    4.220    0.000    5.000   92.669
    31.20    4.225    0.000    5.000   92.620
    31.30    4.230    0.000    5.000   92.570
    31.40    4.235    0.000    5.000   92.519
    31.50    4.240    0.000    5.000   92.468
    31.60    4.245    0.000    5.000   92.416
    31.70    4.250    0.000    5.000   92.364
    31.80    4.260    0.000    5.000   92.160
    31.90    4.265    0.000    5.000   92.106
    32.00    4.270    0.000    5.000   92.051
    32.10    4.275    0.000    5.000   91.995
    32.20    4.280    0.000    5.000   91.938
    32.30    4.285    0.000    5.000   91.881
    32.40    4.295    0.000    5.000   91.673
    32.50    4.300    0.000    5.000   91.614
    32.60    4.305    0.000    5.000   91.554
    32.70    4.310    0.000    5.000   91.494
    32.80    4.315    0.000    5.000   91.433
    32.90    4.325    0.000    5.000   91.221
    33.00    4.330    0.000    5.000   91.158
    33.10    4.335    0.000    5.000   91.094
    33.20    4.340    0.000    5.000   91.030
    33.30    4.345    0.000    5.000   90.965
    33.40    4.350    0.000    5.000   90.900
    33.50    4.360    0.000    5.000   90.683
    33.60    4.365    0.000    5.000   90.616
    33.70    4.370    0.000    5.000   90.548
    33.80    4.375    0.000    5.000   90.479
    33.90    4.380    0.000    5.000   90.409
    34.00    4.385    0.000    5.000   90.339
    34.10    4.390    0.000    5.000   90.269
    34.20    4.400    0.000    5.000   90.047
    34.30    4.405    0.000    5.000   89.974
    34.40    4.410    0.000    5.000   89.901
    34.50    4.415    0.000    5.000   89.827
    34.60    4.420    0.000    5.000   89.752
    34.70    4.425    0.000    5.000   89.677
    34.80    4.430    0.000    5.000   89.601
    34.90    4.440    0.000    5.000   89.374
    35.00    4.445    0.000    5.000   89.296
    35.10    4.450    0.000    5.000   89.217
    35.20    4.455    0.000    5.000   89.138
    35.30    4.460    0.000    5.000   89.058
